DB	ID	Splice	Symbol	Taxon	Qualifier	GO ID	GO Name	Reference	Evidence	With	Aspect	Date	Source
UniProtKB	A0A024QZ86	-	TBX2	9606	-	GO:0003007	heart morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000000095	Process	20160305	Ensembl
UniProtKB	A0A024QZ86	-	TBX2	9606	-	GO:0003148	outflow tract septum morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000000095	Process	20160305	Ensembl
UniProtKB	A0A024QZ86	-	TBX2	9606	-	GO:0003151	outflow tract morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000000095	Process	20160305	Ensembl
UniProtKB	A0A024QZ86	-	TBX2	9606	-	GO:0003203	endocardial cushion morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000000095	Process	20160305	Ensembl
UniProtKB	A0A024QZ86	-	TBX2	9606	-	GO:0003256	regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000000095	Process	20160305	Ensembl
UniProtKB	A0A024QZ86	-	TBX2	9606	-	GO:0036302	atrioventricular canal development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000000095	Process	20160305	Ensembl
UniProtKB	A0A024QZ86	-	TBX2	9606	-	GO:0048738	cardiac muscle tissue development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000000095	Process	20160305	Ensembl
UniProtKB	A0A024QZF7	-	FLJ22688	9606	-	GO:0003279	cardiac septum development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000071194	Process	20160305	Ensembl
UniProtKB	A0A024QZF7	-	FLJ22688	9606	-	GO:0060976	coronary vasculature development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000071194	Process	20160305	Ensembl
UniProtKB	A0A024R0Q5	-	PPP1R13L	9606	-	GO:0003215	cardiac right ventricle morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000047839	Process	20160305	Ensembl
UniProtKB	A0A024R0Q5	-	PPP1R13L	9606	-	GO:0003229	ventricular cardiac muscle tissue development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000047839	Process	20160305	Ensembl
UniProtKB	A0A024R0W7	-	PRICKLE1	9606	-	GO:0060976	coronary vasculature development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000104878	Process	20160305	Ensembl
UniProtKB	A0A024R153	-	INVS	9606	-	GO:0060971	embryonic heart tube left/right pattern formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000030029	Process	20160305	Ensembl
UniProtKB	A0A024R274	-	SMAD4	9606	-	GO:0003190	atrioventricular valve formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025393	Process	20160305	Ensembl
UniProtKB	A0A024R274	-	SMAD4	9606	-	GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025393	Process	20160305	Ensembl
UniProtKB	A0A024R274	-	SMAD4	9606	-	GO:0003279	cardiac septum development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025393	Process	20160305	Ensembl
UniProtKB	A0A024R274	-	SMAD4	9606	-	GO:0036302	atrioventricular canal development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025393	Process	20160305	Ensembl
UniProtKB	A0A024R274	-	SMAD4	9606	-	GO:0060956	endocardial cell differentiation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025393	Process	20160305	Ensembl
UniProtKB	A0A024R2D8	-	CAV3	9606	-	GO:0055013	cardiac muscle cell development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000074922	Process	20160305	Ensembl
UniProtKB	A0A024R2D8	-	CAV3	9606	-	GO:0060347	heart trabecula formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000074922	Process	20160305	Ensembl
UniProtKB	A0A024R2Q3	-	CTNNB1	9606	-	GO:0035050	embryonic heart tube development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000007130	Process	20160305	Ensembl
UniProtKB	A0A024R2Q3	-	CTNNB1	9606	-	GO:0061324	canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000007130	Process	20160305	Ensembl
UniProtKB	A0A024R5H1	-	FOLR1	9606	-	GO:0001947	heart looping	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000001882	Process	20160305	Ensembl
UniProtKB	A0A024R5H1	-	FOLR1	9606	-	GO:0003147	neural crest cell migration involved in heart formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000001882	Process	20160305	Ensembl
UniProtKB	A0A024R5H1	-	FOLR1	9606	-	GO:0003253	cardiac neural crest cell migration involved in outflow tract morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000001882	Process	20160305	Ensembl
UniProtKB	A0A024R5Z3	-	SMAD3	9606	-	GO:0001947	heart looping	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000034973	Process	20160305	Ensembl
UniProtKB	A0A024R5Z3	-	SMAD3	9606	-	GO:0060039	pericardium development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000034973	Process	20160305	Ensembl
UniProtKB	A0A024R688	-	MNAT1	9606	-	GO:0007512	adult heart development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000021523	Process	20160305	Ensembl
UniProtKB	A0A024R6A3	-	PSEN1	9606	-	GO:0001947	heart looping	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000098786	Process	20160305	Ensembl
UniProtKB	A0A024R728	-	MET	9606	-	GO:0055013	cardiac muscle cell development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000111103	Process	20160305	Ensembl
UniProtKB	A0A024R813	-	EYA1	9606	-	GO:0003151	outflow tract morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000027066	Process	20160305	Ensembl
UniProtKB	A0A024R878	-	ENG	9606	-	GO:0001947	heart looping	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000009705	Process	20160305	Ensembl
UniProtKB	A0A024R878	-	ENG	9606	-	GO:0003273	cell migration involved in endocardial cushion formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000009705	Process	20160305	Ensembl
UniProtKB	A0A024R8E5	-	COL5A1	9606	-	GO:0003007	heart morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000028280	Process	20160305	Ensembl
UniProtKB	A0A024R990	-	MDM4	9606	-	GO:0003170	heart valve development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000068661	Process	20160305	Ensembl
UniProtKB	A0A024R990	-	MDM4	9606	-	GO:0003181	atrioventricular valve morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000068661	Process	20160305	Ensembl
UniProtKB	A0A024R990	-	MDM4	9606	-	GO:0003203	endocardial cushion morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000068661	Process	20160305	Ensembl
UniProtKB	A0A024R990	-	MDM4	9606	-	GO:0003281	ventricular septum development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000068661	Process	20160305	Ensembl
UniProtKB	A0A024R990	-	MDM4	9606	-	GO:0003283	atrial septum development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000068661	Process	20160305	Ensembl
UniProtKB	A0A024RAE4	-	CDC42	9606	-	GO:0003161	cardiac conduction system development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000054634	Process	20160305	Ensembl
UniProtKB	A0A024RAM6	-	PTCD2	9606	-	GO:0055010	ventricular cardiac muscle tissue morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000022153	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0001947	heart looping	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0003007	heart morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0003151	outflow tract morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0003167	atrioventricular bundle cell differentiation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0035050	embryonic heart tube development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0055007	cardiac muscle cell differentiation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0060412	ventricular septum morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0060923	cardiac muscle cell fate commitment	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RBL6	-	TBX3	9606	-	GO:0060931	sinoatrial node cell development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018748	Process	20160305	Ensembl
UniProtKB	A0A024RCZ1	-	LEMD2	9606	-	GO:0060914	heart formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000058221	Process	20160305	Ensembl
UniProtKB	A0A024RD16	-	SRF	9606	-	GO:0001947	heart looping	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000015749	Process	20160305	Ensembl
UniProtKB	A0A024RD16	-	SRF	9606	-	GO:0055003	cardiac myofibril assembly	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000015749	Process	20160305	Ensembl
UniProtKB	A0A024RD16	-	SRF	9606	-	GO:0060347	heart trabecula formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000015749	Process	20160305	Ensembl
UniProtKB	A0A024RD16	-	SRF	9606	-	GO:0060947	cardiac vascular smooth muscle cell differentiation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000015749	Process	20160305	Ensembl
UniProtKB	A0A024RDK3	-	CAMK2D	9606	-	GO:0061049	cell growth involved in cardiac muscle cell development	GO_REF:0000019	IEA	Ensembl:ENSRNOP00000016026	Process	20160305	Ensembl
UniProtKB	A0A075B6F5	-	MYO18B	9606	-	GO:0048739	cardiac muscle fiber development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000083810	Process	20160305	Ensembl
UniProtKB	A0A087WUF6	-	FGF2	9606	-	GO:0060978	angiogenesis involved in coronary vascular morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSRNOP00000023388	Process	20160305	Ensembl
UniProtKB	A0A087WUW0	-	CBY1	9606	-	GO:0055007	cardiac muscle cell differentiation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000023064	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0001947	heart looping	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0003151	outflow tract morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0003197	endocardial cushion development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0003281	ventricular septum development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0060411	cardiac septum morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0060412	ventricular septum morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0060971	embryonic heart tube left/right pattern formation	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0061308	cardiac neural crest cell development involved in heart development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTM3	-	CITED2	9606	-	GO:0061371	determination of heart left/right asymmetry	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000038405	Process	20160305	Ensembl
UniProtKB	A0A0A0MTS7	-	TTN	9606	-	GO:0003007	heart morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000107477	Process	20160305	Ensembl
UniProtKB	A0A0A0MTS7	-	TTN	9606	-	GO:0007512	adult heart development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000107477	Process	20160305	Ensembl
UniProtKB	A0A0A0MTS7	-	TTN	9606	-	GO:0060419	heart growth	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000107477	Process	20160305	Ensembl
UniProtKB	A2TDB8	-	CSRP3	9606	-	GO:0048738	cardiac muscle tissue development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000129378	Process	20160305	Ensembl
UniProtKB	A2TDB8	-	CSRP3	9606	-	GO:0055003	cardiac myofibril assembly	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000129378	Process	20160305	Ensembl
UniProtKB	A4UGR9	-	XIRP2	9606	-	GO:0003281	ventricular septum development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000028410	Process	20160305	Ensembl
UniProtKB	A4UGR9	-	XIRP2	9606	-	GO:0055008	cardiac muscle tissue morphogenesis	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000028410	Process	20160305	Ensembl
UniProtKB	A6NCS4	-	NKX2-6	9606	-	GO:0035050	embryonic heart tube development	GO_REF:0000024	ISS	UniProtKB:P43688	Process	20081126	BHF-UCL
UniProtKB	A6NCS4	-	NKX2-6	9606	-	GO:0035050	embryonic heart tube development	PMID:15649947	IMP	-	Process	20071023	HGNC
UniProtKB	A6NCS4	-	NKX2-6	9606	-	GO:0055014	atrial cardiac muscle cell development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000049898	Process	20160305	Ensembl
UniProtKB	A6NCS4	-	NKX2-6	9606	-	GO:0055014	atrial cardiac muscle cell development	GO_REF:0000024	ISS	UniProtKB:P43688	Process	20081126	BHF-UCL
UniProtKB	A6NCS4	-	NKX2-6	9606	-	GO:0055015	ventricular cardiac muscle cell development	GO_REF:0000019	IEA	Ensembl:ENSMUSP00000049898	Process	20160305	Ensembl
